AS38523;INTIKOMP-AS-ID INTI INFORMATIKA PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 90]
AS38524;LAXONET-AS-ID Laxo Global Akses PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 832]
AS38525;NETSOFT-AS-ID Netsoft PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 492]
AS38527;MLINK-AS-ID JAWA POS NATIONAL NETWORK MEDIALINK PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1267]
AS38535;M2AKSES-AS-AP P.T. Mega Media Aksesindo;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 142]
AS38750;TDS-AS-ID Telemedia Dinamika Sarana PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 4048]
AS38753;SOLUSINDO-AS-ID Solusindo Bintang Pratama PT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1843]
AS38754;PRIMENET-AS-ID PRIMEDIA ARMOEKADATA INTERNET PT.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 249]
AS38755;BPS-AS-ID Biro Statistics;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 423]
AS38758;HYPERNET-AS-ID PT. HIPERNET INDODATA;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 6745]
AS38761;SPM-AS-ID PT. Sakti Putra Mandiri;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 339]
AS38763;CYBERBINTAN-AS-ID PT. Cyber Bintan;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 274]
AS38764;POLRI-AS-ID MARKAS BESAR KEPOLISIAN REPUBLIK INDONESIA;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 87]
